Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
27:49.8,27:49.8,1669.801,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 1,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,0,1,9
27:51.2,27:54.2,1671.206,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,5
27:59.0,27:59.0,1679.045,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 10,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,2,2,11
27:59.2,28:02.2,1679.228,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,6
28:05.7,28:08.5,1685.68,TM115,Board 5,TM115,49 Shot Gold Mine To Gold Brocade Crown Cake,1,1,4
28:23.9,28:26.9,1703.881,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,7
28:27.2,28:30.2,1707.214,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,10
28:30.5,28:33.6,1710.548,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,8
28:33.9,28:36.9,1713.881,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,9
28:37.3,28:40.1,1717.279,TM115,Board 8,TM115,49 Shot Gold Mine To Gold Brocade Crown Cake,2,0,6
28:59.7,28:59.7,1739.695,TM502,Board 4,TM502,49 Shot Silver Comet To Time Rain Crackling Cake Fan,1,0,1
29:24.1,29:27.1,1764.061,MS498 12s Finale Box Quick Crackle,Board 4,MS498 12s Finale Box Quick Crackle,12 Shot Crackling Gold Peony Cake,1,0,0
29:27.3,29:30.3,1767.286,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,11
29:29.2,29:32.3,1769.243,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,12
29:33.1,29:35.9,1773.08,GM 427,Board 11,GM 427,36 Shot Red Peony Cake,2,3,3
29:39.6,29:42.6,1779.579,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,13
