Description,Receiver,Socket,Cue,Time (s)
10 Shot White Strobing Peony Cake,3,0,7,1738.172
149 Shot Varg Comet w/ Tail Cake Z Shape,0,1,0,1757.487
149 Shot Varg Comet w/ Tail Cake Z Shape,4,1,8,1757.487
10 Shot Red Strobing Peony Cake,1,0,1,1767.341
10 Shot Red Strobing Peony Cake,3,2,0,1767.341
330 Shot Varg Comet w/ Tail Cake Z Shape,2,2,11,1798.148
,1,2,14,1805.711
,3,0,14,1805.711
36 Shot Popcorn Crackle Cake,0,1,5,1809.817
36 Shot Popcorn Crackle Cake,4,1,1,1809.817
Palm w/ Green Pistil,0,6,12,1827.839
Palm w/ Green Pistil,4,6,12,1827.839
,0,0,12,1830.467
,4,2,13,1830.467
49 Shot Red To Green To Blue Crossette Cake,2,1,7,1839.629
Fade to Red,1,2,12,1857.281
Fade to Red,3,0,10,1857.281
36 Shot Aqua Peony Cake,0,2,9,1868.792
36 Shot Aqua Peony Cake,4,0,10,1868.792
,2,1,4,1868.876
Blue Comet,1,3,0,1897.353
Blue Comet,1,3,1,1897.353
Blue Comet,1,3,2,1897.353
Blue Comet,1,3,3,1897.353
Blue Comet,3,3,0,1897.353
Blue Comet,3,3,1,1897.353
Blue Comet,3,3,2,1897.353
Blue Comet,3,3,3,1897.353
130 Shot Z Shape Rising Red Glittering Comet Cake,0,1,8,1898.125
130 Shot Z Shape Rising Red Glittering Comet Cake,4,1,10,1898.125
330 Shot Varg Comet w/ Tail Cake Z Shape,2,0,0,1908.117
15 Shot Green To Blue To Red Cake Fan,0,0,13,1929.486
15 Shot Green To Blue To Red Cake Fan,4,2,14,1929.486
Silver Thick Comet w/ Red Mine,0,3,11,1930.916
Silver Thick Comet w/ Red Mine,0,3,12,1930.916
Silver Thick Comet w/ Red Mine,0,3,13,1930.916
Silver Thick Comet w/ Red Mine,0,3,14,1930.916
Silver Thick Comet w/ Red Mine,0,3,15,1930.916
Silver Thick Comet w/ Red Mine,0,4,0,1930.916
Silver Thick Comet w/ Red Mine,0,4,1,1930.916
Silver Thick Comet w/ Red Mine,4,3,0,1930.916
Silver Thick Comet w/ Red Mine,4,3,1,1930.916
Silver Thick Comet w/ Red Mine,4,3,2,1930.916
Silver Thick Comet w/ Red Mine,4,3,3,1930.916
,2,0,8,1939.727
,2,2,4,1939.727
27 Shot Red White & Blue Peony Cake W Shape,1,0,4,1941.364
27 Shot Red White & Blue Peony Cake W Shape,3,2,11,1941.364
,0,2,1,1984.392
,4,0,1,1984.392
130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,0,0,0,1988.973
130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,4,2,7,1988.973
27 Shot Red White & Blue Peony Cake W Shape,0,0,3,2004.761
27 Shot Red White & Blue Peony Cake W Shape,4,2,2,2005.139
15 Shot Green To Blue To Red Cake Fan,0,0,14,2035.421
15 Shot Green To Blue To Red Cake Fan,4,2,12,2035.421
Purple Palm,1,6,0,2042.388
Red Palm,3,6,0,2043.404
Gold Comet w/ Blue Mine,0,3,0,2044.7
Gold Comet w/ Blue Mine,0,3,1,2044.7
Gold Comet w/ Blue Mine,0,3,2,2044.7
Gold Comet w/ Blue Mine,0,3,3,2044.7
Gold Comet w/ Blue Mine,4,4,9,2044.7
Gold Comet w/ Blue Mine,4,4,10,2044.7
Gold Comet w/ Blue Mine,4,4,11,2044.7
Gold Comet w/ Blue Mine,4,4,12,2044.7
Gold Comet w/ Blue Mine,4,4,13,2044.7
Gold Comet w/ Blue Mine,4,4,14,2044.7
Gold Comet w/ Blue Mine,4,4,15,2044.7
